Rubric Name,Criteria Name,Criteria Description,Criteria Enable Range,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points
"Lab 13 – Lighthouse, Accessibility, and Deployment",Issue documentation,,false,Excellent,Six issues documented with plain-language explanation and affected elements,4,Proficient,Four or five issues,3,Developing,Two or three issues,2,Incomplete,Fewer than two,1
"Lab 13 – Lighthouse, Accessibility, and Deployment",Fixes,,false,Excellent,"Five issues fixed; each fix documented with file, line, and explanation",4,Proficient,Four fixes documented,3,Developing,Two or three fixes,2,Incomplete,One or zero,1
"Lab 13 – Lighthouse, Accessibility, and Deployment",Final audit,,false,Excellent,Re-audit run; final scores documented; Accessibility ≥ 90 achieved,4,Proficient,Accessibility 75–89,3,Developing,Accessibility 60–74,2,Incomplete,No re-audit,1
"Lab 13 – Lighthouse, Accessibility, and Deployment",Manual walkthrough,,false,Excellent,All six checklist items verified; screen reader test documented,4,Proficient,Four items verified,3,Developing,Two items,2,Incomplete,Not completed,1
"Lab 13 – Lighthouse, Accessibility, and Deployment",Reflection,,false,Excellent,Specific; all three prompts addressed,4,Proficient,Two prompts,3,Developing,Vague,2,Incomplete,Missing,1
Assignment 1 – Responsive Content Page,Semantic HTML,,false,Excellent,"All required elements present; element choices reflect meaning, not appearance; no presentational markup",4,Proficient,"Most required elements present; minor misuse (e.g., one <div> where semantic element would work)",3,Developing,Some required elements present; several semantic errors,2,Incomplete,Missing major elements; heavy <div> use throughout,1
Assignment 1 – Responsive Content Page,Mobile-first CSS,,false,Excellent,Base styles correct at 375px; min-width query adds meaningful layout; custom properties used for all design values,4,Proficient,Responsive at most sizes; custom properties used; minor mobile issue,3,Developing,Some responsiveness; few custom properties; starts desktop-first,2,Incomplete,Not responsive; no custom properties,1
Assignment 1 – Responsive Content Page,Layout technique,,false,Excellent,Flexbox or Grid used correctly for at least one layout; layout does not break at intermediate sizes,4,Proficient,Flexbox or Grid used; minor layout issue at some size,3,Developing,Layout technique attempted but inconsistent,2,Incomplete,No Flexbox or Grid,1
Assignment 1 – Responsive Content Page,Accessibility,,false,Excellent,"lang, alt, contrast, label/id pairs, and heading hierarchy all correct",4,Proficient,Four of five criteria met,3,Developing,Two or three criteria met,2,Incomplete,One criterion met; significant accessibility issues,1
Assignment 1 – Responsive Content Page,Constraints and validation,,false,Excellent,"HTML validates at validator.w3.org with zero errors; no JavaScript, no CSS framework, no !important, no inline style, no table-based layout",4,Proficient,Validates with 1–2 minor warnings; all constraints respected,3,Developing,"Several validation errors, or one constraint broken",2,Incomplete,"Not validated, or multiple constraints broken",1
Assignment 1 – Responsive Content Page,Rationale,,false,Excellent,"Specific, honest, addresses all four prompts; demonstrates design thinking",4,Proficient,Addresses three prompts; some specificity,3,Developing,Addresses two prompts; vague,2,Incomplete,Missing or one sentence,1
Assignment 2 – Interactive Calculator,Calculation correctness,,false,Excellent,Correct results for all valid inputs including edge cases; output formatted meaningfully,4,Proficient,Correct for typical inputs; one edge case fails or formatting missing,3,Developing,Calculation works for basic case; multiple edge cases fail,2,Incomplete,Calculation incorrect or non-functional,1
Assignment 2 – Interactive Calculator,Function separation,,false,Excellent,"Pure calculation function, validation function, and render function each in separate named declarations; handler only orchestrates",4,Proficient,Two of three separated; minor mixing,3,Developing,Logic partially separated,2,Incomplete,All logic in one handler or anonymous function,1
Assignment 2 – Interactive Calculator,Validation,,false,Excellent,"All required error conditions caught; specific, field-named messages; aria-invalid and aria-describedby used",4,Proficient,Most conditions caught; messages vague or not linked to fields,3,Developing,Some validation; no ARIA,2,Incomplete,No validation,1
Assignment 2 – Interactive Calculator,Accessible output,,false,Excellent,aria-live on results; aria-describedby on error spans; aria-invalid set/removed correctly,4,Proficient,Two of three ARIA requirements met,3,Developing,One requirement met,2,Incomplete,No accessible output,1
Assignment 2 – Interactive Calculator,Code quality,,false,Excellent,"Named functions, const throughout, no var, descriptive variable names, no eval()",4,Proficient,Named functions; minor style issues,3,Developing,Some named functions; var used,2,Incomplete,Anonymous functions throughout; unclear names,1
Assignment 2 – Interactive Calculator,Rationale,,false,Excellent,"Specific, honest, addresses all four prompts",4,Proficient,Addresses three prompts,3,Developing,Vague or two prompts,2,Incomplete,Missing,1
Assignment 3 – DOM Pattern Library,Accordion,,false,Excellent,One-open-at-a-time behavior; aria-expanded and aria-controls correct; trigger is <button> in heading,4,Proficient,Functional; one ARIA attribute missing or incorrect,3,Developing,Functional; no ARIA,2,Incomplete,Non-functional,1
Assignment 3 – DOM Pattern Library,Tabs,,false,Excellent,Correct ARIA roles; aria-selected updates; arrow key navigation works; panels show/hide,4,Proficient,Correct roles and selection; no arrow key nav,3,Developing,Functional tabs; no ARIA,2,Incomplete,Non-functional,1
Assignment 3 – DOM Pattern Library,Live filter,,false,Excellent,Filters on input; count updates; empty state shown; aria-live present; proper label,4,Proficient,Filters and counts; missing empty state or aria-live,3,Developing,Filters; no count or accessibility,2,Incomplete,Non-functional,1
Assignment 3 – DOM Pattern Library,Code structure,,false,Excellent,Named init functions; no innerHTML for dynamic content; event delegation where appropriate,4,Proficient,Named functions; one innerHTML for static content,3,Developing,Partial structure; mixed concerns,2,Incomplete,All logic inline or anonymous,1
Assignment 3 – DOM Pattern Library,Keyboard accessibility,,false,Excellent,All three patterns keyboard-operable; visible focus styles present,4,Proficient,Two patterns keyboard-operable,3,Developing,One pattern keyboard-operable,2,Incomplete,No keyboard support,1
Assignment 3 – DOM Pattern Library,Rationale,,false,Excellent,"Specific, honest, addresses all four prompts",4,Proficient,Addresses three prompts,3,Developing,Vague or two prompts,2,Incomplete,Missing,1
Assignment 4 – API Data Story,Async handling,,false,Excellent,"response.ok checked; try/catch/finally used; all three states (loading, success, error) produce distinct, appropriate UI",4,Proficient,Two states handled; response.ok checked,3,Developing,One state handled; no response.ok check,2,Incomplete,No error handling,1
Assignment 4 – API Data Story,Data normalization,,false,Excellent,Normalization function covers all rendered fields; default values for missing data; rendering code uses only normalized objects,4,Proficient,Two of three fields normalized; some raw API fields in renderer,3,Developing,Minimal normalization; several raw API fields used directly in the renderer,2,Incomplete,No normalization; raw API data passed directly to renderer,1
Assignment 4 – API Data Story,Search / filter,,false,Excellent,User control triggers data update; empty results handled,4,Proficient,Control works; empty results not handled,3,Developing,Control partially functional,2,Incomplete,No interactive control,1
Assignment 4 – API Data Story,Accessible async,,false,Excellent,aria-live on results region; loading/error messages are text-based and descriptive; focus managed on detail view,4,Proficient,aria-live present; text messages present; focus not managed,3,Developing,Partially accessible,2,Incomplete,No accessible state management,1
Assignment 4 – API Data Story,Code structure,,false,Excellent,"Named functions for fetch, normalize, and each UI state; no innerHTML with API data",4,Proficient,Named functions; one minor innerHTML issue,3,Developing,Partial function separation,2,Incomplete,All logic inline,1
Assignment 4 – API Data Story,Rationale,,false,Excellent,"Specific, honest, addresses all five prompts including the API viability check",4,Proficient,Addresses four prompts,3,Developing,Vague or two or three prompts,2,Incomplete,Missing,1
Assignment 5 – Modular Refactor,Module structure,,false,Excellent,"All required files present (main, api, normalize, render, events, constants); one-sentence responsibility comment at top of each",4,Proficient,Four of six files with correct responsibilities,3,Developing,Two or three files; responsibilities mixed,2,Incomplete,Single file; no modules,1
Assignment 5 – Modular Refactor,Export / import correctness,,false,Excellent,All exports named; all imports explicit with correct relative paths; no accidental globals,4,Proficient,"Minor import issue (missing .js extension, incorrect path)",3,Developing,Imports partially working,2,Incomplete,Module syntax errors prevent running,1
Assignment 5 – Modular Refactor,Dependency direction,,false,Excellent,api.js and normalize.js have no DOM access; render.js does not call fetch; main.js only initializes,4,Proficient,One minor violation,3,Developing,Two violations,2,Incomplete,No separation of concerns,1
Assignment 5 – Modular Refactor,Vite workflow,,false,Excellent,npm run dev works; npm run build succeeds; node_modules/ and dist/ in .gitignore,4,Proficient,Dev works; build works; one gitignore omission,3,Developing,Dev works; build not attempted,2,Incomplete,npm run dev fails,1
Assignment 5 – Modular Refactor,Functional equivalence,,false,Excellent,Refactored app behaves identically to original; no features lost,4,Proficient,One feature regressed,3,Developing,Significant functionality missing,2,Incomplete,App non-functional,1
Assignment 5 – Modular Refactor,Rationale,,false,Excellent,"Specific, honest, addresses all four prompts",4,Proficient,Addresses three prompts,3,Developing,Vague or two prompts,2,Incomplete,Missing,1
Assignment 6 – Reactive Form Workflow,Component decomposition,,false,Excellent,"All six child components present (StepIndicator, Step1, Step2, Step3, ReviewStep, SuccessView) with correct responsibilities; data flows down via props, events flow up via emits",4,Proficient,Four components; one minor responsibility leak,3,Developing,Three components; some prop mutation,2,Incomplete,Single-component app,1
Assignment 6 – Reactive Form Workflow,Reactive form state,,false,Excellent,v-model on all inputs; computed used for derived value; review reflects parent data via props,4,Proficient,v-model used; no computed,3,Developing,Mixed v-model and manual handlers,2,Incomplete,Manual DOM reads,1
Assignment 6 – Reactive Form Workflow,Validation,,false,Excellent,All three steps validate before advancing; error messages inline and linked via aria-describedby; aria-invalid set correctly,4,Proficient,Two steps validate; error messages present,3,Developing,One step validates,2,Incomplete,No validation,1
Assignment 6 – Reactive Form Workflow,Step flow,,false,Excellent,"Advancing, going back, and submitting work correctly; review shows complete data; success view resets app",4,Proficient,Advancing and submitting work; back navigation missing,3,Developing,Forward flow works; review incomplete,2,Incomplete,Flow non-functional,1
Assignment 6 – Reactive Form Workflow,Accessibility,,false,Excellent,"Focus managed on step change; live announcements work; labels, error links, and submit text are clear; step indicator communicates progress accessibly",4,Proficient,Most accessibility requirements met; one minor gap remains,3,Developing,Some accessibility work present; several requirements incomplete,2,Incomplete,Little or no accessibility support,1
Assignment 6 – Reactive Form Workflow,Rationale,,false,Excellent,"Specific, honest, addresses all four prompts",4,Proficient,Addresses three prompts,3,Developing,Vague or two prompts,2,Incomplete,Missing,1
Final Project – Campus or Community Tool,Functionality,,false,Excellent,All stated features work correctly; three distinct interactions functional; no broken states,4,Proficient,Most features work; one interaction has minor issues,3,Developing,Core feature works; secondary features incomplete or broken,2,Incomplete,Non-functional or only partially loads,1
Final Project – Campus or Community Tool,Remote data,,false,Excellent,"Fetch with response.ok check; try/catch/finally; loading, success, error, and empty states all handled distinctly",4,Proficient,Three of four states handled; response.ok checked,3,Developing,Two states handled,2,Incomplete,No fetch or no error handling,1
Final Project – Campus or Community Tool,Persistence,,false,Excellent,"localStorage feature correctly reads on load, writes on change, and handles first-visit null case; JSON.stringify/parse used for objects",4,Proficient,Feature works; first-visit case not handled,3,Developing,Feature present but broken on reload,2,Incomplete,No localStorage,1
Final Project – Campus or Community Tool,Code organization,,false,Excellent,Four module files with responsibility comments; useful README.md; no circular dependencies; no innerHTML with external data; no var,4,Proficient,Three files or README has minor gaps; one minor violation,3,Developing,Two files; weak or missing documentation; some mixing,2,Incomplete,Single file,1
Final Project – Campus or Community Tool,Responsive design,,false,Excellent,"Mobile-first; custom properties for all design values; layout functional at 375px, 768px, and 1280px",4,Proficient,Responsive with minor gap at one size,3,Developing,Partially responsive; some custom properties,2,Incomplete,Not responsive,1
Final Project – Campus or Community Tool,Accessibility,,false,Excellent,Validates; skip nav; alt text; keyboard-operable; aria-live; contrast passes; focus visible,4,Proficient,Four of six criteria,3,Developing,Three criteria,2,Incomplete,Two or fewer,1
Final Project – Campus or Community Tool,Commit history,,false,Excellent,10+ meaningful commits distributed across the build period,4,Proficient,7–9 commits; most meaningful,3,Developing,4–6 commits,2,Incomplete,3 or fewer; or all on one day,1
Final Project – Course Reflection,Depth and specificity,,false,Excellent,"All five prompts answered with specific, concrete details from the project; demonstrates genuine self-assessment",4,Proficient,Four prompts answered specifically,3,Developing,Three prompts; answers somewhat vague,2,Incomplete,Two or fewer prompts; very vague,1
Final Project – Course Reflection,Technical honesty,,false,Excellent,Identifies real weaknesses and specific things to change; does not claim everything went perfectly,4,Proficient,Identifies some weaknesses,3,Developing,Weaknesses mentioned but not specific,2,Incomplete,Claims no weaknesses or missing,1
Final Project – Course Reflection,Growth evidence,,false,Excellent,Reflection on accessibility prompt shows concrete shift in understanding from start to end of course,4,Proficient,Some growth evident,3,Developing,Accessibility prompt answered generically,2,Incomplete,Not addressed,1
